onset	duration	partner (1=human,2=computer)	trial type	event type
5.031485	0	1	5	1
9.296375	0	1	5	2
9.876570	0	1	5	3
10.562937	0	1	5	4
12.312167	0	1	5	5
13.328452	0	1	5	6
13.844910	0	1	7	1
23.358105	0	1	7	2
23.908309	0	1	7	3
24.507872	0	1	7	4
26.340400	0	1	7	5
27.356424	0	1	7	6
27.873031	0	1	1	1
40.884964	0	1	1	2
41.735172	0	1	1	3
42.334685	0	1	1	4
44.167215	0	1	1	5
45.183455	0	1	1	6
45.699866	0	1	14	1
64.209808	0	1	14	2
65.310046	0	1	14	3
65.992698	0	1	14	4
67.741925	0	1	14	5
68.758166	0	1	14	6
69.274632	0	1	4	1
72.290182	0	1	4	2
72.790380	0	1	4	3
73.489742	0	1	4	4
75.222307	0	1	4	5
76.238763	0	1	4	6
76.755200	0	1	8	1
83.769339	0	1	8	2
84.539575	0	1	8	3
85.102364	0	1	8	4
86.968219	0	1	8	5
87.984244	0	1	8	6
88.500870	0	1	15	1
92.016323	0	1	15	2
92.666496	0	1	15	3
93.249291	0	1	15	4
95.098483	0	1	15	5
96.114606	0	1	15	6
96.631164	0	1	13	1
101.895866	0	1	13	2
102.496003	0	1	13	3
103.045732	0	1	13	4
104.928246	0	1	13	5
105.944459	0	1	13	6
106.461023	0	1	6	1
119.472951	0	1	6	2
119.973157	0	1	6	3
120.606043	0	1	6	4
122.405320	0	1	6	5
123.421509	0	1	6	6
123.937958	0	1	2	1
130.952079	0	1	2	2
131.602273	0	1	2	3
132.118335	0	1	2	4
134.034173	0	1	2	5
135.050588	0	1	2	6
135.567035	0	1	12	1
140.831800	0	1	12	2
141.602048	0	1	12	3
142.314782	0	1	12	4
144.030688	0	1	12	5
145.046930	0	1	12	6
145.563379	0	1	11	1
149.078792	0	1	11	2
149.929022	0	1	11	3
150.511853	0	1	11	4
152.360966	0	1	11	5
153.377335	0	1	11	6
153.893695	0	1	9	1
156.909255	0	1	9	2
157.459490	0	1	9	3
157.992357	0	1	9	4
159.891529	0	1	9	5
160.907793	0	1	9	6
161.424045	0	1	3	1
170.937454	0	1	3	2
171.517666	0	1	3	3
172.120368	0	1	3	4
173.952901	0	1	3	5
174.969313	0	1	3	6
175.485725	0	1	16	1
179.750896	0	1	16	2
180.851149	0	1	16	3
181.500408	0	1	16	4
183.282958	0	1	16	5
184.299230	0	1	16	6
184.815702	0	1	10	1
203.325518	0	1	10	2
203.925707	0	1	10	3
204.525356	0	1	10	4
206.357886	0	1	10	5
207.374131	0	1	10	6
213.905062	0	2	8	1
223.418272	0	2	8	2
224.518574	0	2	8	3
225.284437	0	2	8	4
226.950358	0	2	8	5
227.966554	0	2	8	6
228.483049	0	2	14	1
235.497136	0	2	14	2
235.997372	0	2	14	3
236.746905	0	2	14	4
238.429502	0	2	14	5
239.445731	0	2	14	6
239.961960	0	2	6	1
258.472022	0	2	6	2
259.242237	0	2	6	3
259.871747	0	2	6	4
261.670953	0	2	6	5
262.687214	0	2	6	6
263.203688	0	2	7	1
276.215617	0	2	7	2
276.865871	0	2	7	3
277.498670	0	2	7	4
279.297879	0	2	7	5
280.313898	0	2	7	6
280.830469	0	2	13	1
284.345977	0	2	13	2
284.946226	0	2	13	3
285.662142	0	2	13	4
287.378047	0	2	13	5
288.394481	0	2	13	6
288.910949	0	2	2	1
294.175714	0	2	2	2
294.725965	0	2	2	3
295.291967	0	2	2	4
297.157820	0	2	2	5
298.174249	0	2	2	6
298.690662	0	2	11	1
302.955838	0	2	11	2
303.806093	0	2	11	3
304.355506	0	2	11	4
306.238020	0	2	11	5
307.254260	0	2	11	6
307.770692	0	2	1	1
310.786284	0	2	1	2
311.366507	0	2	1	3
311.919400	0	2	1	4
313.801915	0	2	1	5
314.818162	0	2	1	6
315.334617	0	2	5	1
322.348721	0	2	5	2
323.448987	0	2	5	3
324.264896	0	2	5	4
325.880836	0	2	5	5
326.897053	0	2	5	6
327.413333	0	2	3	1
345.923417	0	2	3	2
346.573659	0	2	3	3
347.173202	0	2	3	4
349.005807	0	2	3	5
350.021896	0	2	3	6
350.538426	0	2	10	1
363.550354	0	2	10	2
364.130623	0	2	10	3
364.916704	0	2	10	4
366.565956	0	2	10	5
367.581980	0	2	10	6
368.098526	0	2	15	1
377.611869	0	2	15	2
378.462152	0	2	15	3
379.061456	0	2	15	4
380.893989	0	2	15	5
381.910265	0	2	15	6
382.426748	0	2	16	1
385.442371	0	2	16	2
385.942599	0	2	16	3
386.592094	0	2	16	4
388.374641	0	2	16	5
389.390867	0	2	16	6
389.907313	0	2	9	1
394.172471	0	2	9	2
394.772726	0	2	9	3
395.555261	0	2	9	4
397.204524	0	2	9	5
398.221003	0	2	9	6
398.737451	0	2	12	1
404.002220	0	2	12	2
404.552459	0	2	12	3
405.118646	0	2	12	4
406.984499	0	2	12	5
408.000754	0	2	12	6
408.517237	0	2	4	1
412.032616	0	2	4	2
412.802850	0	2	4	3
413.432281	0	2	4	4
415.231490	0	2	4	5
416.247690	0	2	4	6
